,tweet_id,favorites,retweets
0,892420643555336193,35461,7487
1,892177421306343426,30689,5558
2,891815181378084864,23083,3679
3,891689557279858688,38738,7664
4,891327558926688256,37013,8265
5,891087950875897856,18658,2767
6,890971913173991426,10841,1797
7,890729181411237888,59757,16766
8,890609185150312448,25680,3822
9,890240255349198849,29318,6507
10,890006608113172480,28244,6514
11,889880896479866881,25690,4427
12,889665388333682689,44152,8884
13,889638837579907072,24847,3973
14,889531135344209921,13972,2006
15,889278841981685760,23183,4733
16,888917238123831296,26800,3981
17,888804989199671297,23520,3758
18,888554962724278272,18135,3074
19,888078434458587136,20037,3078
20,887705289381826560,27863,4794
21,887517139158093824,42673,10462
22,887473957103951883,63202,15973
23,887343217045368832,30985,9352
24,887101392804085760,28190,5295
25,886983233522544640,32038,6786
26,886736880519319552,10995,2832
27,886680336477933568,20706,3984
28,886366144734445568,19448,2809
29,886267009285017600,110,4
30,886258384151887873,25734,5625
31,886054160059072513,0,97
32,885984800019947520,29966,5968
33,885528943205470208,33067,5678
34,885518971528720385,18850,3312
35,885311592912609280,0,16433
36,885167619883638784,20128,3878
37,884925521741709313,70815,16020
38,884876753390489601,25579,4953
39,884562892145688576,22365,4179
40,884441805382717440,24945,5070
41,884247878851493888,66668,18032
42,884162670584377345,18783,2661
43,883838122936631299,20092,3034
44,883482846933004288,42152,8772
45,883360690899218434,20872,3276
46,883117836046086144,34106,5904
47,882992080364220416,21981,3449
48,882762694511734784,25994,4337
49,882627270321602560,25782,5396
50,882268110199369728,41221,10296
51,882045870035918850,26978,4328
52,881906580714921986,22428,3025
53,881666595344535552,46627,9487
54,881633300179243008,116,7
55,881536004380872706,45517,14228
56,881268444196462592,21436,4710
57,880935762899988482,15751,2488
58,880872448815771648,19600,3405
59,880465832366813184,26197,5526
60,880221127280381952,24802,3696
61,880095782870896641,25437,3871
62,879862464715927552,20619,3096
63,879674319642796034,292,10
64,879492040517615616,21626,2827
65,879415818425184262,97378,39683
66,879376492567855104,15518,2787
67,879130579576475649,0,6059
68,879050749262655488,20773,4182
69,879008229531029506,17520,2386
70,878776093423087618,17857,3641
71,878604707211726852,27724,6294
72,878404777348136964,0,1134
73,878316110768087041,0,5913
74,878281511006478336,7122,1134
75,878057613040115712,38817,6059
76,877736472329191424,72932,16854
77,877611172832227328,0,71
78,877556246731214848,20932,3394
79,877316821321428993,25298,4646
80,877201837425926144,24993,4959
81,876838120628539392,19090,2976
82,876537666061221889,21900,4193
83,876484053909872640,17342,2111
84,876120275196170240,25843,4161
85,875747767867523072,23178,3815
86,875144289856114688,20262,4389
87,875097192612077568,25350,5443
88,875021211251597312,23566,4214
89,874680097055178752,25710,4146
90,874434818259525634,0,12991
91,874296783580663808,24074,3698
92,874057562936811520,21011,3564
93,874012996292530176,31622,9138
94,873580283840344065,22411,3536
95,873337748698140672,0,1418
96,873213775632977920,6622,1418
97,872967104147763200,25211,4856
98,872820683541237760,13646,3342
99,872620804844003328,19193,3270
100,872486979161796608,37783,8133
101,872122724285648897,31729,7277
102,871879754684805121,34775,9821
103,871762521631449091,18741,3136
104,871515927908634625,18728,3127
105,871166179821445120,0,5144
106,871102520638267392,19422,4972
107,871032628920680449,21113,3434
108,870804317367881728,31267,5587
109,870726314365509632,113,3
110,870656317836468226,11452,2361
111,870374049280663552,77227,24014
112,870308999962521604,20388,3753
113,870063196459192321,33948,7515
114,869772420881756160,39636,9173
115,869702957897576449,26252,5698
116,869596645499047938,14860,2817
